,0,1
0,125,1.0
1,1506,1.0
2,1433,1.0
3,467,1.0
4,1387,1.0
5,1367,1.0
6,1385,1.0
7,475,1.0
8,656,1.0
9,563,1.0
10,1170,1.0
11,884,1.0
12,1715,1.0
13,1378,1.0
14,650,1.0
15,2,1.0
16,1051,1.0
17,241,1.0
18,1473,1.0
19,326,1.0
20,952,1.0
21,996,1.0
22,1302,1.0
23,593,1.0
24,972,1.0
25,1691,1.0
26,1673,1.0
27,646,1.0
28,601,1.0
29,524,1.0
30,1527,1.0
31,1233,1.0
32,1594,1.0
33,1214,1.0
34,719,1.0
35,312,1.0
36,1346,1.0
37,512,1.0
38,1366,1.0
39,865,1.0
40,785,1.0
41,778,1.0
42,728,1.0
43,1091,1.0
44,1126,1.0
45,1313,1.0
46,109,1.0
47,750,1.0
48,507,1.0
49,81,1.0
50,624,1.0
51,193,1.0
52,288,1.0
53,1280,1.0
54,237,1.0
55,871,1.0
56,841,1.0
57,1032,1.0
58,152,1.0
59,1421,1.0
60,1694,1.0
61,957,1.0
62,3,1.0
63,476,1.0
64,1476,1.0
65,1666,1.0
66,1184,1.0
67,91,1.0
68,1196,1.0
69,659,1.0
70,126,1.0
71,1177,1.0
72,797,1.0
73,1316,1.0
74,148,1.0
75,1515,1.0
76,218,1.0
77,695,1.0
78,772,1.0
79,529,1.0
80,753,1.0
81,1667,1.0
82,262,1.0
83,994,1.0
84,418,1.0
85,12,1.0
86,760,1.0
87,1636,1.0
88,1559,1.0
89,1124,1.0
90,790,1.0
91,576,1.0
92,421,1.0
93,85,1.0
94,1059,1.0
95,932,1.0
96,573,1.0
97,1475,1.0
98,1654,1.0
99,554,1.0
100,1327,1.0
101,1717,1.0
102,526,1.0
103,280,1.0
104,1027,1.0
105,442,1.0
106,1191,1.0
107,1068,1.0
108,1420,1.0
109,1651,1.0
110,310,1.0
111,172,1.0
112,440,1.0
113,1734,1.0
114,48,1.0
115,1222,1.0
116,72,1.0
117,1485,1.0
118,58,1.0
119,1223,1.0
120,1336,1.0
121,838,1.0
122,814,1.0
123,1674,1.0
124,146,1.0
125,631,1.0
126,1297,1.0
127,396,1.0
128,555,1.0
129,740,1.0
130,683,1.0
131,712,1.0
132,775,1.0
133,149,1.0
134,385,1.0
135,427,1.0
136,538,1.0
137,1166,1.0
138,922,1.0
139,716,1.0
140,653,1.0
141,754,1.0
142,747,1.0
143,742,1.0
144,230,1.0
145,1450,1.0
146,352,1.0
147,607,1.0
148,254,1.0
149,733,1.0
150,1665,1.0
151,53,1.0
152,1452,1.0
153,489,1.0
154,221,1.0
155,562,1.0
156,847,1.0
157,164,1.0
158,985,1.0
159,1677,1.0
160,1072,1.0
161,1244,1.0
162,1512,1.0
163,1582,1.0
164,939,1.0
165,1029,1.0
166,1445,1.0
167,1254,1.0
168,1551,1.0
169,617,1.0
170,1147,1.0
171,533,1.0
172,300,1.0
173,1397,1.0
174,832,1.0
175,1577,1.0
176,803,1.0
177,1693,1.0
178,855,1.0
179,111,1.0
180,1436,1.0
181,213,1.0
182,1365,1.0
183,1242,1.0
184,1552,1.0
185,6,1.0
186,1221,1.0
187,568,1.0
188,89,1.0
189,1600,1.0
190,290,1.0
191,826,1.0
192,286,1.0
193,1439,1.0
194,527,1.0
195,584,1.0
196,882,1.0
197,833,1.0
198,488,1.0
199,995,1.0
200,1739,1.0
201,969,1.0
202,846,1.0
203,879,1.0
204,1653,1.0
205,479,1.0
206,1121,1.0
207,691,1.0
208,404,1.0
209,809,1.0
210,318,1.0
211,233,1.0
212,566,1.0
213,781,1.0
214,883,1.0
215,621,1.0
216,851,1.0
217,266,1.0
218,1108,1.0
219,979,1.0
220,1399,1.0
221,1604,1.0
222,351,1.0
223,155,1.0
224,1114,1.0
225,1522,1.0
226,807,1.0
227,1394,1.0
228,87,1.0
229,1183,1.0
230,908,1.0
231,438,1.0
232,324,1.0
233,5,1.0
234,1234,1.0
235,680,1.0
236,975,1.0
237,1555,1.0
238,387,1.0
239,1447,1.0
240,594,1.0
241,1268,1.0
242,1603,1.0
243,1263,1.0
244,1377,1.0
245,468,1.0
246,77,1.0
247,195,1.0
248,1601,1.0
249,293,1.0
250,49,1.0
251,1321,1.0
252,984,1.0
253,597,1.0
254,1001,1.0
255,1609,1.0
256,1158,1.0
257,409,1.0
258,192,1.0
259,1055,1.0
260,161,1.0
261,1235,1.0
262,60,1.0
263,552,1.0
264,724,1.0
265,664,1.0
266,548,1.0
267,705,1.0
268,484,1.0
269,1466,1.0
270,756,1.0
271,788,1.0
272,1731,1.0
273,1451,1.0
274,644,1.0
275,935,1.0
276,356,1.0
277,609,1.0
278,1435,1.0
279,799,1.0
280,466,1.0
281,1486,1.0
282,1671,1.0
283,446,1.0
284,1209,1.0
285,1142,1.0
286,139,1.0
287,1742,1.0
288,1456,1.0
289,1323,1.0
290,73,1.0
291,771,1.0
292,1264,1.0
293,1329,1.0
294,1481,1.0
295,861,1.0
296,600,1.0
297,599,1.0
298,692,1.0
299,1692,1.0
300,1098,1.0
301,55,1.0
302,136,1.0
303,1031,1.0
304,1382,1.0
305,1247,1.0
306,1022,1.0
307,1299,1.0
308,1070,1.0
309,1400,1.0
310,1145,1.0
311,320,1.0
312,1427,1.0
313,411,1.0
314,456,1.0
315,1028,1.0
316,1192,1.0
317,1458,1.0
318,128,1.0
319,1089,1.0
320,463,1.0
321,1079,1.0
322,93,1.0
323,1503,1.0
324,183,1.0
325,1278,1.0
326,353,1.0
327,487,1.0
328,1634,1.0
329,1480,1.0
330,1062,1.0
331,1457,1.0
332,376,1.0
333,793,1.0
334,736,1.0
335,1312,1.0
336,26,1.0
337,1504,1.0
338,1520,1.0
339,1011,1.0
340,160,1.0
341,1568,1.0
342,482,1.0
343,1101,1.0
344,1195,1.0
345,332,1.0
346,843,1.0
347,981,1.0
348,66,1.0
349,530,1.0
350,402,1.0
351,1744,1.0
352,1040,1.0
353,931,1.0
354,1128,1.0
355,107,1.0
356,1328,1.0
357,1464,1.0
358,834,1.0
359,445,1.0
360,462,1.0
361,784,1.0
362,549,1.0
363,100,1.0
364,224,1.0
365,1746,1.0
366,1678,1.0
367,770,1.0
368,1018,1.0
369,1152,1.0
370,1553,1.0
371,891,1.0
372,1249,1.0
373,1411,1.0
374,1102,1.0
375,1025,1.0
376,67,1.0
377,951,1.0
378,143,1.0
379,258,1.0
380,1657,1.0
381,1309,1.0
382,495,1.0
383,287,1.0
384,1250,1.0
385,749,1.0
386,805,1.0
387,1206,1.0
388,1273,1.0
389,222,1.0
390,540,1.0
391,1539,1.0
392,328,1.0
393,1201,1.0
394,1581,1.0
395,1525,1.0
396,909,1.0
397,307,1.0
398,1680,1.0
399,634,1.0
400,722,1.0
401,1602,1.0
402,1509,1.0
403,652,1.0
404,854,1.0
405,78,1.0
406,441,1.0
407,927,1.0
408,1679,1.0
409,1146,1.0
410,625,1.0
411,97,1.0
412,858,1.0
413,1204,1.0
414,828,1.0
415,1418,1.0
416,1547,1.0
417,206,1.0
418,16,1.0
419,870,1.0
420,343,1.0
421,1589,1.0
422,115,1.0
423,702,1.0
424,1474,1.0
425,1016,1.0
426,431,1.0
427,800,1.0
428,1358,1.0
429,1438,1.0
430,1168,1.0
431,246,1.0
432,598,1.0
433,649,1.0
434,1482,1.0
435,147,1.0
436,1345,1.0
437,359,1.0
438,1240,1.0
439,1658,1.0
440,242,1.0
441,486,1.0
442,357,1.0
443,1542,1.0
444,759,1.0
445,907,1.0
446,648,1.0
447,198,1.0
448,1343,1.0
449,322,1.0
450,1588,1.0
451,762,1.0
452,301,1.0
453,684,1.0
454,837,1.0
455,623,1.0
456,1279,1.0
457,1618,1.0
458,395,1.0
459,1110,1.0
460,1638,1.0
461,1714,1.0
462,1614,1.0
463,407,1.0
464,1587,1.0
465,250,1.0
466,104,1.0
467,378,1.0
468,661,1.0
469,256,1.0
470,1306,1.0
471,470,1.0
472,990,1.0
473,1613,1.0
474,1288,1.0
475,977,1.0
476,169,1.0
477,1180,1.0
478,539,1.0
479,306,1.0
480,339,1.0
481,525,1.0
482,877,1.0
483,1237,1.0
484,1052,1.0
485,686,1.0
486,1046,1.0
487,269,1.0
488,458,1.0
489,1624,1.0
490,140,1.0
491,1283,1.0
492,1709,1.0
493,783,1.0
494,890,1.0
495,655,1.0
496,1608,1.0
497,167,1.0
498,1441,1.0
499,1181,1.0
500,688,1.0
501,33,1.0
502,1150,1.0
503,622,1.0
504,216,1.0
505,158,1.0
506,1513,1.0
507,1049,1.0
508,341,1.0
509,1141,1.0
510,296,1.0
511,1348,1.0
512,1492,1.0
513,544,1.0
514,197,1.0
515,1501,1.0
516,1390,1.0
517,1526,1.0
518,1615,1.0
519,583,1.0
520,849,1.0
521,1364,1.0
522,285,1.0
523,626,1.0
524,480,1.0
525,1092,1.0
526,500,1.0
527,1335,1.0
528,1718,1.0
529,916,1.0
530,321,1.0
531,896,1.0
532,163,1.0
533,1469,1.0
534,346,1.0
535,575,1.0
536,848,1.0
537,1431,1.0
538,1220,1.0
539,802,1.0
540,741,1.0
541,801,1.0
542,1078,1.0
543,204,1.0
544,1315,1.0
545,603,1.0
546,1736,1.0
547,1554,1.0
548,471,1.0
549,337,1.0
550,1303,1.0
551,824,1.0
552,950,1.0
553,1395,1.0
554,70,1.0
555,457,1.0
556,1695,1.0
557,455,1.0
558,1401,1.0
559,1533,1.0
560,946,1.0
561,432,1.0
562,1267,1.0
563,860,1.0
564,1355,1.0
565,1617,1.0
566,1219,1.0
567,501,1.0
568,361,1.0
569,864,1.0
570,469,1.0
571,1591,1.0
572,569,1.0
573,1287,1.0
574,1289,1.0
575,403,1.0
576,1461,1.0
577,177,1.0
578,937,1.0
579,1034,1.0
580,1530,1.0
581,1454,1.0
582,259,1.0
583,1648,1.0
584,1054,1.0
585,41,1.0
586,289,1.0
587,911,1.0
588,1075,1.0
589,1269,1.0
590,344,1.0
591,948,1.0
592,1354,1.0
593,1639,1.0
594,1076,1.0
595,1632,1.0
596,249,1.0
597,1193,1.0
598,1132,1.0
599,1275,1.0
600,1672,1.0
601,7,1.0
602,1376,1.0
603,654,1.0
604,138,1.0
605,853,1.0
606,738,1.0
607,1487,1.0
608,133,1.0
609,277,1.0
610,276,1.0
611,45,1.0
612,275,1.0
613,112,1.0
614,340,1.0
615,62,1.0
616,1391,1.0
617,1175,1.0
618,1103,1.0
619,844,1.0
620,1664,1.0
621,982,1.0
622,272,1.0
623,989,1.0
624,1662,1.0
625,1217,1.0
626,1362,1.0
627,706,1.0
628,528,1.0
629,940,1.0
630,1259,1.0
631,175,1.0
632,1285,1.0
633,947,1.0
634,113,1.0
635,1116,1.0
636,678,1.0
637,1334,1.0
638,1290,1.0
639,1493,1.0
640,1140,1.0
641,444,1.0
642,709,1.0
643,211,1.0
644,1550,1.0
645,1514,1.0
646,769,1.0
647,708,1.0
648,727,1.0
649,1415,1.0
650,121,1.0
651,472,1.0
652,1057,1.0
653,1276,1.0
654,1711,1.0
655,921,1.0
656,372,1.0
657,887,1.0
658,40,1.0
659,1182,1.0
660,270,1.0
661,17,1.0
662,212,1.0
663,1194,1.0
664,1048,1.0
665,1479,1.0
666,637,1.0
667,1093,1.0
668,1171,1.0
669,450,1.0
670,992,1.0
671,606,1.0
672,1090,1.0
673,47,1.0
674,944,1.0
675,888,1.0
676,1311,1.0
677,1005,1.0
678,842,1.0
679,483,1.0
680,665,1.0
681,1628,1.0
682,338,1.0
